Abbreviation,Description,Neutral formula,Charged formula,Charge,Compartment,KEGG ID,PubChem ID,ChEBI ID,InChI string,SMILES
m01716[m],D-lactate,C3H6O3,C3H6O3,0,m,C00256,,CHEBI:42111,,
m01716[s],D-lactate,C3H6O3,C3H6O3,0,s,C00256,,CHEBI:42111,,
m01683[c],D-gluconic acid,C6H12O7,C6H12O7,0,c,C00257,,CHEBI:4157,,
m01982[c],glycerate,C3H6O4,C3H6O4,0,c,C00258,,CHEBI:32398,,
m01982[m],glycerate,C3H6O4,C3H6O4,0,m,C00258,,CHEBI:32398,,
m01982[s],glycerate,C3H6O4,C3H6O4,0,s,C00258,,CHEBI:32398,,
m02337[c],L-arabinose,C5H10O5,C5H10O5,0,c,C00259,,CHEBI:17535,,
m02337[s],L-arabinose,C5H10O5,C5H10O5,0,s,C00259,,CHEBI:17535,,
m02159[c],hypoxanthine,C5H4N4O,C5H4N4O,0,c,C00262,,CHEBI:17368,,
m02159[p],hypoxanthine,C5H4N4O,C5H4N4O,0,p,C00262,,CHEBI:17368,,
m02159[s],hypoxanthine,C5H4N4O,C5H4N4O,0,s,C00262,,CHEBI:17368,,
